what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367352527703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367352531407
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367352532680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367352536531
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367352537630
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1367352543929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367352554085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367352983715
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367352986864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367353033354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367353330636
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367353330657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367353331185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367353332395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367353337097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367356800858
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367356803548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367356806557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367356811295
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367356811315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367356811896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357523151
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367357530414
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357530780
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357530814
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367357533142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357540125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357540331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357543512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357543557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357549861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357549915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357551538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357551581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357558192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357558226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357559927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357559972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357592226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357592261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357594444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357594489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357597787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357597823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357599722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357599766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357615000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357615034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367357617416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367357617454
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357618998
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367357637882
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357684937
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357688448
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357688449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357694549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357714419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357737749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357744704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357747384
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1367357760930
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1367357761138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357762370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367357798546
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357804990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367357805022
