what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1365984625644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365984641236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984643399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984643481
error,log,,,"Unhandled event loop exception",1365984643523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984647175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984647256
error,log,,,"Unhandled event loop exception",1365984647295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984650362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984652472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984654346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984656377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365984657364
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1365984658139
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365984661003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365984665500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984706788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365984712209
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365984755762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984755850
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365984755868
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365984757863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984762400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984780632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984782133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984814156
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365984814509
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365984816147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365984817236
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365984819348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984821252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365984855811
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365984858413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365984865871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365984873436
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1365984876586
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1365984877626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1365984879173
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1365984879731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1365984880143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1365984880754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1365984881165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1365984881299
