what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367201128989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201129904
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367201136811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201136896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201151528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201394620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201408147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201661239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367201669263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367202020164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367202020259
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367202036376
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367202036432
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1367202039730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367202039792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367202040637
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367202046916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1367202051210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1367202052824
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367202062535
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1367202062576
