what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914342818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366914346008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914372739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914433359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914440899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914446489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914447252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914448259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914450386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914451170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1366914453539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1366914454708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1366914465014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366914465944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914469946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914525349
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1366914533328
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1366914535686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366914536870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914540524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914546085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914546546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914829953
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366914837328
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366914837607
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366914837646
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1366914862061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366914862811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366914877417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366915325498
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366915327570
